Statistic,Random,Human,DER,DrQ,SPR,IRIS,SR-SPR,EfficientZero,BBF
Median,0.0,1.0,0.189,0.313,0.396,0.289,0.685,1.116,0.917
Mean,0.0,1.0,0.35,0.465,0.616,1.046,1.272,1.945,2.247
