Statistic,Random,Human,PPO,SimPLe,SPR,TWM,IRIS,DreamerV3
Mean,0,1.0,0.11,0.33,0.62,0.96,1.05,1.25
Median,0,1.0,0.02,0.13,0.4,0.51,0.29,0.49
